
participant,condition,block,input,stimulus,timestamp,xmousex,ymousey,region,triggered
m,1,2,mouse,fish,1448161821652,600,70,3,0
m,1,2,mouse,fish,1448161821752,599,77,3,0
m,1,2,mouse,fish,1448161821851,604,74,3,0
m,1,2,mouse,fish,1448161821952,608,73,3,0
m,1,2,mouse,fish,1448161822052,609,71,3,0
m,1,2,mouse,fish,1448161822153,611,69,3,0
m,1,2,mouse,fish,1448161822252,958,86,6,1
m,1,2,mouse,fish,1448161822353,961,85,6,0
m,1,2,mouse,fish,1448161822452,965,83,6,0
m,1,2,mouse,fish,1448161822552,987,84,6,0
m,1,2,mouse,fish,1448161822653,993,81,6,0
m,1,2,mouse,fish,1448161822753,996,81,6,0
m,1,2,mouse,fish,1448161822853,997,81,6,0
m,1,2,mouse,fish,1448161822952,373,273,-1,0
m,1,2,mouse,fish,1448161823053,245,282,1,1
m,1,2,mouse,fish,1448161823153,245,297,-1,0
m,1,2,mouse,fish,1448161823253,234,292,1,1
m,1,2,mouse,fish,1448161823353,237,289,1,0
m,1,2,mouse,fish,1448161823453,236,289,1,0
m,1,2,mouse,fish,1448161823553,237,288,1,0
m,1,2,mouse,fish,1448161823653,539,275,4,1
m,1,2,mouse,fish,1448161823753,535,278,4,0
m,1,2,mouse,fish,1448161823853,545,278,4,0
m,1,2,mouse,fish,1448161823953,580,280,4,0
m,1,2,mouse,fish,1448161824054,592,278,4,0
m,1,2,mouse,fish,1448161824154,595,277,4,0
m,1,2,mouse,fish,1448161824254,595,277,4,0
m,1,2,mouse,fish,1448161824355,595,277,4,0
m,1,2,mouse,fish,1448161824454,597,272,4,0
m,1,2,mouse,fish,1448161824554,597,269,4,0
m,1,2,mouse,fish,1448161824654,634,258,4,0
m,1,2,mouse,fish,1448161824754,691,258,-1,0
m,1,2,mouse,fish,1448161824854,982,258,7,1
m,1,2,mouse,fish,1448161824954,982,257,7,0
m,1,2,mouse,fish,1448161825054,981,255,7,0
m,1,2,mouse,fish,1448161825154,986,250,7,0
m,1,2,mouse,fish,1448161825254,992,245,7,0
m,1,2,mouse,fish,1448161825354,998,244,7,0
m,1,2,mouse,fish,1448161825454,1000,243,7,0
m,1,2,mouse,fish,1448161825555,1001,241,7,0
m,1,2,mouse,fish,1448161825655,249,438,2,1
m,1,2,mouse,fish,1448161825754,256,437,-1,0
m,1,2,mouse,fish,1448161825855,255,446,-1,0
m,1,2,mouse,fish,1448161825955,252,440,2,1
m,1,2,mouse,fish,1448161826055,244,435,2,0
m,1,2,mouse,fish,1448161826155,240,431,2,0
m,1,2,mouse,fish,1448161826254,572,430,5,1
m,1,2,mouse,fish,1448161826355,573,425,5,0
m,1,2,mouse,fish,1448161826455,576,426,5,0
m,1,2,mouse,fish,1448161826555,577,426,5,0
m,1,2,mouse,fish,1448161826655,593,428,5,0
m,1,2,mouse,fish,1448161826754,605,428,5,0
m,1,2,mouse,fish,1448161826855,611,430,5,0
m,1,2,mouse,fish,1448161826955,973,422,8,1
m,1,2,mouse,fish,1448161827054,972,423,8,0
m,1,2,mouse,fish,1448161827155,978,420,8,0
m,1,2,mouse,fish,1448161827255,974,420,8,0
m,1,2,mouse,fish,1448161827355,1000,421,8,0
m,1,2,mouse,fish,1448161827455,1008,422,8,0
m,1,2,mouse,fish,1448161827555,1010,422,8,0
m,1,2,mouse,fish,1448161827655,1009,424,8,0
m,1,2,mouse,fish,1448161827755,1004,422,8,0
m,1,2,mouse,fish,1448161827855,633,434,5,1
m,1,2,mouse,fish,1448161827955,630,435,5,0
m,1,2,mouse,fish,1448161828055,622,426,5,0
m,1,2,mouse,fish,1448161828155,626,432,5,0
m,1,2,mouse,fish,1448161828256,624,432,5,0
m,1,2,mouse,fish,1448161828355,622,431,5,0
m,1,2,mouse,fish,1448161828455,621,430,5,0
m,1,2,mouse,fish,1448161828555,309,442,-1,0
m,1,2,mouse,fish,1448161828655,208,443,2,1
m,1,2,mouse,fish,1448161828755,209,436,2,0
m,1,2,mouse,fish,1448161828855,201,438,2,0
