
participant,condition,block,input,stimulus,timestamp,xmousex,ymousey,region,triggered
m,1,4,mouse,viruses,1448161974187,592,65,3,0
m,1,4,mouse,viruses,1448161974287,585,277,4,1
m,1,4,mouse,viruses,1448161974387,593,281,4,0
m,1,4,mouse,viruses,1448161974487,595,367,-1,0
m,1,4,mouse,viruses,1448161974587,596,406,5,1
m,1,4,mouse,viruses,1448161974687,591,408,5,0
m,1,4,mouse,viruses,1448161974787,590,412,5,0
m,1,4,mouse,viruses,1448161974887,590,414,5,0
m,1,4,mouse,viruses,1448161974987,928,437,8,1
m,1,4,mouse,viruses,1448161975086,928,441,8,0
m,1,4,mouse,viruses,1448161975186,625,433,5,1
m,1,4,mouse,viruses,1448161975287,657,429,-1,0
m,1,4,mouse,viruses,1448161975387,990,427,8,1
m,1,4,mouse,viruses,1448161975487,992,428,8,0
m,1,4,mouse,viruses,1448161975587,993,429,8,0
m,1,4,mouse,viruses,1448161975687,995,428,8,0
m,1,4,mouse,viruses,1448161975787,994,425,8,0
m,1,4,mouse,viruses,1448161975887,993,421,8,0
m,1,4,mouse,viruses,1448161975987,992,417,8,0
m,1,4,mouse,viruses,1448161976087,1007,327,-1,0
m,1,4,mouse,viruses,1448161976187,1002,316,-1,0
m,1,4,mouse,viruses,1448161976287,1002,314,7,1
m,1,4,mouse,viruses,1448161976387,1001,303,7,0
m,1,4,mouse,viruses,1448161976487,999,293,7,0
m,1,4,mouse,viruses,1448161976587,997,285,7,0
m,1,4,mouse,viruses,1448161976687,989,239,7,0
m,1,4,mouse,viruses,1448161976787,995,229,7,0
m,1,4,mouse,viruses,1448161976888,1012,132,6,1
m,1,4,mouse,viruses,1448161976987,996,108,6,0
m,1,4,mouse,viruses,1448161977087,991,90,6,0
m,1,4,mouse,viruses,1448161977187,988,82,6,0
m,1,4,mouse,viruses,1448161977287,987,74,6,0
m,1,4,mouse,viruses,1448161977387,984,42,6,0
m,1,4,mouse,viruses,1448161977488,984,43,6,0
m,1,4,mouse,viruses,1448161977587,988,40,6,0
m,1,4,mouse,viruses,1448161977687,990,37,6,0
m,1,4,mouse,viruses,1448161977787,990,37,6,0
m,1,4,mouse,viruses,1448161977887,984,40,6,0
m,1,4,mouse,viruses,1448161977987,579,44,3,1
m,1,4,mouse,viruses,1448161978088,571,65,3,0
m,1,4,mouse,viruses,1448161978187,570,64,3,0
m,1,4,mouse,viruses,1448161978287,216,42,0,1
m,1,4,mouse,viruses,1448161978389,198,36,0,0
m,1,4,mouse,viruses,1448161978489,574,46,3,1
m,1,4,mouse,viruses,1448161978588,474,45,-1,0
m,1,4,mouse,viruses,1448161978688,170,49,0,1
m,1,4,mouse,viruses,1448161978789,174,52,0,0
m,1,4,mouse,viruses,1448161978889,172,54,0,0
m,1,4,mouse,viruses,1448161978988,172,54,0,0
m,1,4,mouse,viruses,1448161979089,170,52,0,0
m,1,4,mouse,viruses,1448161979188,171,49,0,0
m,1,4,mouse,viruses,1448161979289,170,44,0,0
m,1,4,mouse,viruses,1448161979388,169,38,0,0
m,1,4,mouse,viruses,1448161979488,169,34,0,0
m,1,4,mouse,viruses,1448161979588,166,26,-1,0
m,1,4,mouse,viruses,1448161979689,165,20,-1,0
m,1,4,mouse,viruses,1448161979788,132,197,-1,0
m,1,4,mouse,viruses,1448161979888,123,209,-1,0
m,1,4,mouse,viruses,1448161979989,125,209,-1,0
m,1,4,mouse,viruses,1448161980089,125,212,-1,0
m,1,4,mouse,viruses,1448161980188,218,230,1,1
m,1,4,mouse,viruses,1448161980289,213,239,1,0
m,1,4,mouse,viruses,1448161980390,213,240,1,0
m,1,4,mouse,viruses,1448161980490,212,238,1,0
m,1,4,mouse,viruses,1448161980589,212,236,1,0
m,1,4,mouse,viruses,1448161980690,210,232,1,0
m,1,4,mouse,viruses,1448161980789,209,230,1,0
m,1,4,mouse,viruses,1448161980890,202,231,1,0
m,1,4,mouse,viruses,1448161980989,193,232,1,0
m,1,4,mouse,viruses,1448161981089,183,232,1,0
m,1,4,mouse,viruses,1448161981189,181,232,1,0
m,1,4,mouse,viruses,1448161981289,178,232,1,0
m,1,4,mouse,viruses,1448161981389,573,250,4,1
m,1,4,mouse,viruses,1448161981490,560,246,4,0
m,1,4,mouse,viruses,1448161981589,558,248,4,0
m,1,4,mouse,viruses,1448161981689,562,246,4,0
m,1,4,mouse,viruses,1448161981790,569,241,4,0
m,1,4,mouse,viruses,1448161981889,575,236,4,0
m,1,4,mouse,viruses,1448161981990,578,232,4,0
m,1,4,mouse,viruses,1448161982090,581,230,4,0
m,1,4,mouse,viruses,1448161982190,584,226,4,0
