
participant,condition,block,input,stimulus,timestamp,xmousex,ymousey,region,triggered
m,1,1,gaze,flags,1448161673665,1015,394,8,0
m,1,1,gaze,flags,1448161673766,1012,392,8,0
m,1,1,gaze,flags,1448161673865,942,224,7,1
m,1,1,gaze,flags,1448161673965,938,232,7,0
m,1,1,gaze,flags,1448161674065,933,234,7,0
m,1,1,gaze,flags,1448161674165,932,237,7,0
m,1,1,gaze,flags,1448161674265,931,238,7,0
m,1,1,gaze,flags,1448161674365,930,245,7,0
m,1,1,gaze,flags,1448161674465,930,251,7,0
m,1,1,gaze,flags,1448161674565,960,134,6,1
m,1,1,gaze,flags,1448161674665,954,132,6,0
m,1,1,gaze,flags,1448161674766,954,125,6,0
m,1,1,gaze,flags,1448161674865,954,115,6,0
m,1,1,gaze,flags,1448161674965,957,108,6,0
m,1,1,gaze,flags,1448161675065,817,105,-1,0
m,1,1,gaze,flags,1448161675165,820,105,-1,0
m,1,1,gaze,flags,1448161675267,506,118,-1,0
m,1,1,gaze,flags,1448161675366,497,122,-1,0
m,1,1,gaze,flags,1448161675466,498,125,-1,0
m,1,1,gaze,flags,1448161675567,505,117,-1,0
m,1,1,gaze,flags,1448161675666,499,118,-1,0
m,1,1,gaze,flags,1448161675766,498,117,-1,0
m,1,1,gaze,flags,1448161675867,497,117,-1,0
m,1,1,gaze,flags,1448161675966,496,118,-1,0
m,1,1,gaze,flags,1448161676067,226,93,0,1
m,1,1,gaze,flags,1448161676167,219,98,0,0
m,1,1,gaze,flags,1448161676266,203,102,0,0
m,1,1,gaze,flags,1448161676367,198,104,0,0
m,1,1,gaze,flags,1448161676466,196,105,0,0
m,1,1,gaze,flags,1448161676567,194,106,0,0
m,1,1,gaze,flags,1448161676666,194,108,0,0
m,1,1,gaze,flags,1448161676768,195,109,0,0
m,1,1,gaze,flags,1448161676867,190,110,0,0
m,1,1,gaze,flags,1448161676968,187,111,0,0
m,1,1,gaze,flags,1448161677067,185,112,0,0
m,1,1,gaze,flags,1448161677168,466,127,-1,0
m,1,1,gaze,flags,1448161677267,489,129,-1,0
m,1,1,gaze,flags,1448161677368,485,127,-1,0
m,1,1,gaze,flags,1448161677468,488,126,-1,0
m,1,1,gaze,flags,1448161677567,496,120,-1,0
m,1,1,gaze,flags,1448161677668,501,116,-1,0
m,1,1,gaze,flags,1448161677767,506,114,-1,0
m,1,1,gaze,flags,1448161677868,508,113,-1,0
m,1,1,gaze,flags,1448161677968,509,113,-1,0
m,1,1,gaze,flags,1448161678068,573,100,3,1
m,1,1,gaze,flags,1448161678168,553,113,3,0
m,1,1,gaze,flags,1448161678268,534,121,-1,0
m,1,1,gaze,flags,1448161678368,525,125,-1,0
m,1,1,gaze,flags,1448161678468,527,129,-1,0
m,1,1,gaze,flags,1448161678568,528,132,-1,0
m,1,1,gaze,flags,1448161678668,529,133,-1,0
m,1,1,gaze,flags,1448161678769,532,134,-1,0
m,1,1,gaze,flags,1448161678868,533,135,-1,0
m,1,1,gaze,flags,1448161678968,533,136,-1,0
m,1,1,gaze,flags,1448161679068,521,264,-1,0
m,1,1,gaze,flags,1448161679169,521,268,-1,0
m,1,1,gaze,flags,1448161679268,522,270,-1,0
m,1,1,gaze,flags,1448161679368,524,271,-1,0
m,1,1,gaze,flags,1448161679469,524,274,-1,0
m,1,1,gaze,flags,1448161679569,523,274,-1,0
m,1,1,gaze,flags,1448161679669,523,274,-1,0
m,1,1,gaze,flags,1448161679769,522,273,-1,0
m,1,1,gaze,flags,1448161679869,518,275,-1,0
m,1,1,gaze,flags,1448161679969,513,277,-1,0
m,1,1,gaze,flags,1448161680069,599,293,4,1
m,1,1,gaze,flags,1448161680169,601,294,4,0
m,1,1,gaze,flags,1448161680268,590,300,4,0
m,1,1,gaze,flags,1448161680369,583,302,4,0
m,1,1,gaze,flags,1448161680469,577,304,4,0
m,1,1,gaze,flags,1448161680569,574,305,4,0
m,1,1,gaze,flags,1448161680669,571,308,4,0
m,1,1,gaze,flags,1448161680769,566,312,4,0
m,1,1,gaze,flags,1448161680869,561,310,4,0
m,1,1,gaze,flags,1448161680969,556,306,4,0
m,1,1,gaze,flags,1448161681069,975,101,6,1
m,1,1,gaze,flags,1448161681169,980,96,6,0
m,1,1,gaze,flags,1448161681269,953,102,6,0
m,1,1,gaze,flags,1448161681369,958,109,6,0
m,1,1,gaze,flags,1448161681469,958,110,6,0
m,1,1,gaze,flags,1448161681570,956,176,-1,0
m,1,1,gaze,flags,1448161681669,952,170,-1,0
m,1,1,gaze,flags,1448161681769,953,165,-1,0
m,1,1,gaze,flags,1448161681870,936,310,-1,0
m,1,1,gaze,flags,1448161681971,938,317,-1,0
m,1,1,gaze,flags,1448161682070,940,317,-1,0
m,1,1,gaze,flags,1448161682170,940,317,-1,0
m,1,1,gaze,flags,1448161682270,941,324,-1,0
m,1,1,gaze,flags,1448161682370,938,331,-1,0
m,1,1,gaze,flags,1448161682470,936,334,-1,0
m,1,1,gaze,flags,1448161682571,966,267,7,1
m,1,1,gaze,flags,1448161682670,969,278,7,0
m,1,1,gaze,flags,1448161682771,966,278,7,0
m,1,1,gaze,flags,1448161682871,967,278,7,0
m,1,1,gaze,flags,1448161682971,965,277,7,0
m,1,1,gaze,flags,1448161683071,965,278,7,0
m,1,1,gaze,flags,1448161683171,950,480,8,1
m,1,1,gaze,flags,1448161683272,948,481,8,0
m,1,1,gaze,flags,1448161683371,945,482,8,0
m,1,1,gaze,flags,1448161683471,946,477,8,0
m,1,1,gaze,flags,1448161683572,954,465,8,0
m,1,1,gaze,flags,1448161683672,960,458,8,0
m,1,1,gaze,flags,1448161683772,960,457,8,0
m,1,1,gaze,flags,1448161683872,958,458,8,0
m,1,1,gaze,flags,1448161683972,620,465,5,1
m,1,1,gaze,flags,1448161684072,616,461,5,0
m,1,1,gaze,flags,1448161684172,447,458,-1,0
m,1,1,gaze,flags,1448161684273,450,458,-1,0
m,1,1,gaze,flags,1448161684373,594,456,5,1
m,1,1,gaze,flags,1448161684473,591,450,5,0
m,1,1,gaze,flags,1448161684573,593,452,5,0
