
participant,condition,block,input,stimulus,timestamp,xmousex,ymousey,region,triggered
m,1,3,gaze,mushrooms,1448161873449,1003,342,-1,0
m,1,3,gaze,mushrooms,1448161873549,1008,414,8,1
m,1,3,gaze,mushrooms,1448161873649,988,417,8,0
m,1,3,gaze,mushrooms,1448161873748,998,417,8,0
m,1,3,gaze,mushrooms,1448161873848,998,416,8,0
m,1,3,gaze,mushrooms,1448161873950,995,416,8,0
m,1,3,gaze,mushrooms,1448161874049,990,413,8,0
m,1,3,gaze,mushrooms,1448161874151,990,411,8,0
m,1,3,gaze,mushrooms,1448161874250,989,409,8,0
m,1,3,gaze,mushrooms,1448161874351,989,409,8,0
m,1,3,gaze,mushrooms,1448161874450,990,408,8,0
m,1,3,gaze,mushrooms,1448161874551,989,408,8,0
m,1,3,gaze,mushrooms,1448161874650,987,409,8,0
m,1,3,gaze,mushrooms,1448161874750,986,409,8,0
m,1,3,gaze,mushrooms,1448161874851,576,443,5,1
m,1,3,gaze,mushrooms,1448161874951,572,438,5,0
m,1,3,gaze,mushrooms,1448161875051,564,432,5,0
m,1,3,gaze,mushrooms,1448161875151,562,437,5,0
m,1,3,gaze,mushrooms,1448161875250,566,436,5,0
m,1,3,gaze,mushrooms,1448161875351,587,355,-1,0
m,1,3,gaze,mushrooms,1448161875450,587,358,-1,0
m,1,3,gaze,mushrooms,1448161875551,581,357,-1,0
m,1,3,gaze,mushrooms,1448161875651,578,358,-1,0
m,1,3,gaze,mushrooms,1448161875751,576,426,5,1
m,1,3,gaze,mushrooms,1448161875851,571,434,5,0
m,1,3,gaze,mushrooms,1448161875951,570,433,5,0
m,1,3,gaze,mushrooms,1448161876051,569,433,5,0
m,1,3,gaze,mushrooms,1448161876151,566,435,5,0
m,1,3,gaze,mushrooms,1448161876251,577,256,4,1
m,1,3,gaze,mushrooms,1448161876351,570,267,4,0
m,1,3,gaze,mushrooms,1448161876451,572,266,4,0
m,1,3,gaze,mushrooms,1448161876551,576,262,4,0
m,1,3,gaze,mushrooms,1448161876651,574,259,4,0
m,1,3,gaze,mushrooms,1448161876751,576,257,4,0
m,1,3,gaze,mushrooms,1448161876852,577,254,4,0
m,1,3,gaze,mushrooms,1448161876952,578,253,4,0
m,1,3,gaze,mushrooms,1448161877052,578,249,4,0
m,1,3,gaze,mushrooms,1448161877152,578,247,4,0
m,1,3,gaze,mushrooms,1448161877252,579,245,4,0
m,1,3,gaze,mushrooms,1448161877352,565,116,3,1
m,1,3,gaze,mushrooms,1448161877451,576,115,3,0
m,1,3,gaze,mushrooms,1448161877552,570,38,3,0
m,1,3,gaze,mushrooms,1448161877652,574,43,3,0
m,1,3,gaze,mushrooms,1448161877752,574,36,3,0
m,1,3,gaze,mushrooms,1448161877851,574,22,-1,0
m,1,3,gaze,mushrooms,1448161877953,575,18,-1,0
m,1,3,gaze,mushrooms,1448161878052,576,11,-1,0
m,1,3,gaze,mushrooms,1448161878153,578,7,-1,0
m,1,3,gaze,mushrooms,1448161878253,579,2,-1,0
m,1,3,gaze,mushrooms,1448161878353,577,0,-1,0
m,1,3,gaze,mushrooms,1448161878453,578,0,-1,0
m,1,3,gaze,mushrooms,1448161878553,578,0,-1,0
m,1,3,gaze,mushrooms,1448161878653,563,70,3,1
m,1,3,gaze,mushrooms,1448161878753,560,76,3,0
m,1,3,gaze,mushrooms,1448161878854,352,65,-1,0
m,1,3,gaze,mushrooms,1448161878953,260,75,-1,0
